Name,Image,Buy,Back Color,Body Color,Head Color,Foot Color,Pen Color 1,Pen Color 2,Pen Color 3,Pen Color 4,Start Date,End Date,NH Start Date,NH End Date,SH Start Date,SH End Date,Version,Filename,Internal ID,Unique Entry ID
Graffiti card,,200,None,#F3FC00,#00FFC3,#00FFC3,#F3FC00,#00FFC3,#FFFFFF,#FFFFFF,NA,NA,NA,NA,NA,NA,1.0.0,MsgActive00,365,jADvDRLmF5dHJkBZP
Halloween card,,200,None,#FF5504,#FFA907,#FFA907,#05050F,#0413F4,#ED0402,#FFBB00,9/30,10/31,NA,NA,NA,NA,1.0.0,MsgHalloween01,399,whjFSsXWHv75vvXwH
Happy-clovers card,,200,None,#021200,#271003,#271003,#05050F,#0413F4,#ED0402,#FFBB00,NA,NA,NA,NA,NA,NA,1.0.0,MsgEncourage00,397,Lzhq6cyapSuGRsuvu
Hibiscus card,,200,#E5DFDF,#004868,#DB0037,#DB0037,#05050F,#0413F4,#ED0402,#FFBB00,NA,NA,5/1,9/15,11/1,3/15,1.0.0,MsgSummer02,409,DpdwLMqmxy4cCKNfZ
Holiday card,,200,None,#6D0000,#004120,#004120,#05050F,#0413F4,#ED0402,#FFBB00,11/20,1/10,NA,NA,NA,NA,1.0.0,MsgChristmas01,377,yBe5TtK8cowF38QFo
Lovely hearts card,,200,None,#B01B1B,#EF5656,#EF5656,#B01B1B,#EF5656,#FFFFFF,#FFFFFF,NA,NA,NA,NA,NA,NA,1.0.0,MsgLove00,371,qKHdMdrTEFdQvQTNy
Mother's Day card,,200,#FFD9B8,#900C37,#560313,#560313,#900C37,#560313,#FFFFFF,#FFFFFF,5/1,5/31,NA,NA,NA,NA,1.0.0,MsgMother00,381,ztwWJo7Rv4RLuHcjK
MsgMametsubu00,,NFS,None,#241509,#241509,#241509,#05050F,#0413F4,#ED0402,#FFBB00,NA,NA,NA,NA,NA,NA,3.0.0,MsgMametsubu00,448,K2YxvMhe5JJv7GEnD
MsgWherearenOffice00,,NFS,None,#2A1615,#2A1615,#2A1615,#05050F,#0413F4,#ED0402,#FFBB00,NA,NA,NA,NA,NA,NA,2.0.0,MsgWherearenOffice00,437,Tg7b6bh48DD79G9fr
Mushroom card,,200,None,#E9CF85,#EDE1AB,#EDE1AB,#E9CF85,#EDE1AB,#935606,#421B21,NA,NA,9/1,11/25,3/1,5/25,1.0.0,MsgFall02,386,eK9QMfBwFzoc9DvBc
Paradise Planning card,,NFS,None,#FFF1C3,#FFF1C3,#FFF1C3,#05050F,#0413F4,#ED0402,#FFBB00,NA,NA,NA,NA,NA,NA,2.0.0,MsgWherearenShopping00,445,tGCQBx4teagP9gB9z
Plumeria card,,,None,#FFFFFF,#FFF548,#FFF548,#05050F,#0413F4,#ED0402,#FFBB00,,,,,,,2.0.0,MsgWherearen00,440,wPC5MssczpxvgZnub
Pumpkin card,,200,None,#EBC726,#F6F1BB,#F6F1BB,#EBC726,#F6F1BB,#FF7202,#0D060D,9/30,10/31,NA,NA,NA,NA,1.0.0,MsgHalloween00,398,nznxAbGCBPW97Nibg
Red-dragonflies card,,200,None,#7B210D,#ED2104,#ED2104,#7B210D,#ED2104,#D22300,#FFB730,NA,NA,NA,NA,NA,NA,1.0.0,MsgFall00,385,iyFNtujivporYgfva
Ribbon card,,200,None,#1B1611,#0D0001,#0D0001,#05050F,#0413F4,#ED0402,#FFBB00,NA,NA,NA,NA,NA,NA,1.0.0,MsgBirthday01,390,pfp4eHBrZzYJXao2v
Shapes card,,200,None,#201A17,#0A8F36,#0A8F36,#201A17,#0A8F36,#FF5C38,#FFFFFF,NA,NA,NA,NA,NA,NA,1.0.0,MsgThankyou01,380,HH9MTDZSbQjSLMdvM
Shooting-stars card,,200,None,#B0DDE7,#3BB2EB,#3BB2EB,#05050F,#0413F4,#ED0402,#FFBB00,NA,NA,NA,NA,NA,NA,1.0.0,MsgStar00,407,tfxwrM9jHukBqzcMe
Snowflake card,,200,None,#002C57,#0D5B7F,#0D5B7F,#002C57,#0D5B7F,#0EFFEB,#C3FFFC,NA,NA,11/26,2/24,5/26,8/24,1.0.0,MsgWinter00,367,emawdP4yt2aKdjG5v
Snowperson card,,200,None,#FFFFFF,#09577B,#09577B,#FFFFFF,#09577B,#ED0402,#FFBB00,NA,NA,11/26,2/24,5/26,8/24,1.0.0,MsgSnowfes00,374,CKTiJB94AipapsMyQ
So-many-hearts card,,200,None,#FFFFFF,#4100BF,#4100BF,#05050F,#0413F4,#ED0402,#FFBB00,NA,NA,NA,NA,NA,NA,1.0.0,MsgOther05,404,uMreu3ZFwHpPAPCiH
Star card,,200,None,#010D2A,#980F00,#980F00,#05050F,#0413F4,#ED0402,#FFBB00,NA,NA,NA,NA,NA,NA,1.0.0,MsgActive01,356,2MfR4So6XB8X5btra
Stationery-goods card,,200,None,#282828,#282828,#282828,#282828,#231C1C,#FFFFFF,#FFFFFF,NA,NA,NA,NA,NA,NA,1.0.0,MsgOther03,362,XNi8ib3tkDKRD3h9W
Sunset card,,,None,#FFFFFF,#FFFFFF,#FFFFFF,#05050F,#0413F4,#ED0402,#FFBB00,,,,,,,2.0.0,MsgWherearen02,443,ZtyRsYeBeK52eWFYP
Torn card,,200,None,#2B2B2B,#2B2B2B,#2B2B2B,#2B2B2B,#FFFFFF,#FFFFFF,#FFFFFF,NA,NA,NA,NA,NA,NA,1.0.0,MsgSimple01,358,Xj9q2wzes2bAzEGSz
Town-view card,,200,None,#340300,#1B0000,#1B0000,#05050F,#0413F4,#ED0402,#FFBB00,NA,NA,11/26,2/24,5/26,8/24,1.0.0,MsgWinter02,414,sYi9GYXt3svjcEFBA
Tropical card,,,#15648D,#F8DDA4,#F8DDA4,#F8DDA4,#05050F,#0413F4,#ED0402,#FFBB00,,,,,,,2.0.0,MsgWherearen04,444,G95bKJDn3LjJ899gZ
Turkey Day card,,200,#B04B00,#320300,#791000,#791000,#320300,#791000,#0617FF,#FFFFFF,9/16,11/30,NA,NA,NA,NA,1.0.0,MsgThanksgiving00,357,eMmoyy8BfudhMeZvW
Velvety card,,200,None,#D3871D,#873500,#873500,#05050F,#0413F4,#ED0402,#FFBB00,NA,NA,NA,NA,NA,NA,1.0.0,MsgGorgeous00,416,vHZqSxqW4WRAyb3Qw
Warm-sweater card,,200,#410000,#FFFFFF,#FFFFFF,#FFFFFF,#7176FF,#FFFFFF,#008745,#CFCFCF,11/20,1/10,NA,NA,NA,NA,1.0.0,MsgChristmas02,383,qjuD4YWMv86AkwRp6
Wedding card,,200,None,#1FA1B5,#104689,#104689,#1FA1B5,#104689,#FFFFFF,#FFFFFF,NA,NA,NA,NA,NA,NA,1.0.0,MsgWedding00,413,iBqa4MMzucwejjWmm
Winter-camellia card,,200,None,#0D1324,#FFFFFF,#FFFFFF,#05050F,#0413F4,#ED0402,#FFBB00,NA,NA,11/26,2/24,5/26,8/24,1.0.0,MsgWinter01,370,ptYcfxZjk4CnCpPRp
Zen card,,200,None,#FFD3AD,#FFA12A,#FFA12A,#FFD3AD,#FFA12A,#000511,#053B00,NA,NA,NA,NA,NA,NA,1.0.0,MsgOther00,359,3sCFGDHSNaYD5rhhZ
